Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,23150.929688,29159.902344,19628.253906,28478.484375,28478.484375,883299703608
2023-04-01,28473.332031,31005.607422,27070.849609,29268.806641,29268.806641,511540319004
2023-05-01,29227.103516,29820.126953,25878.429688,27219.658203,27219.658203,443473015479
2023-06-01,27218.412109,31389.539063,24797.167969,30477.251953,30477.251953,481734214225
2023-07-01,30471.847656,31814.515625,28934.294922,29230.111328,29230.111328,382224489090
2023-08-01,29230.873047,30176.796875,25409.111328,25931.472656,25931.472656,437724169499
2023-09-01,25934.021484,27488.763672,24930.296875,26967.916016,26967.916016,337637313742
2023-10-01,26967.396484,35150.433594,26558.320313,34667.781250,34667.781250,476425634860
2023-11-01,34657.273438,38415.339844,34133.441406,37712.746094,37712.746094,570863267380
2023-12-01,37718.007813,44705.515625,37629.359375,42265.187500,42265.187500,721704910480
2024-01-01,42280.234375,48969.371094,38521.894531,42582.605469,42582.605469,825918941347
2024-02-01,42569.761719,43494.250000,41879.191406,42658.667969,42658.667969,84714754861
2024-02-07,43090.019531,43165.128906,43059.097656,43115.683594,43115.683594,16869891072
