Year,Inflation,Unemployment,Next_Unemployment
1988,4.4,5.5,5.3
1989,4.6,5.3,5.6
1990,6.1,5.6,6.8
1991,3.1,6.8,7.5
1992,2.9,7.5,6.9
1993,2.7,6.9,6.1
1994,2.7,6.1,5.6
1995,2.5,5.6,5.4
1996,3.3,5.4,4.9
1997,1.7,4.9,4.5
1998,1.6,4.5,4.2
1999,2.7,4.2,4
2000,3.4,4,4.7
2001,1.6,4.7,5.8
2002,2.4,5.8,6
2003,1.9,6,5.5
2004,3.3,5.5,5.1
2005,2.5,5.1,4.6
2006,2.5,4.6,4.6
2007,4.1,4.6,5.8
2008,0.1,5.8,9.3
2009,2.7,9.3,9.6
2010,1.5,9.6,8.9
2011,3,8.9,8.1
2012,1.7,8.1,7.4
2013,1.5,7.4,6.2
2014,0.8,6.2,5.3
2015,0.7,5.3,
